Paper_ID,Year,Title,Authors,Algorithm_Type,Quantum_Framework,Application_Domain,Repository_URL,DOI,arXiv_URL,arXiv_Categories
57,2024,A kernel-based quantum random forest for improved classification,"Srikumar, Maiyuren; Hill, Charles D.; Hollenberg, Lloyd C. L.",Quantum Kernel Methods (classification),Custom Implementation,Supervised Classification,https://github.com/maiyuren/quantum-random-forest,10.48550/arXiv.2210.02355,http://arxiv.org/abs/2210.02355,Computer Science - Machine Learning; Quantum Physics
58,2025,sQUlearn– A Python Library for Quantum Machine Learning,"Kreplin, David A.; Willmann, Moritz; Schnabel, Jan; Rapp, Frederic; Hagelüken, Manuel; Roth, Marco",Quantum Kernel Method (Hybrid),Qiskit/PennyLane,,https://github.com/squlearn/squlearn,10.48550/arXiv.2311.08990,http://arxiv.org/abs/2311.08990,Computer Science - Machine Learning; Quantum Physics
59,2024,Training robust and generalizable quantum models,"Berberich, Julian; Fink, Daniel; Pranjić, Daniel; Tutschku, Christian; Holm, Christian",Variational Quantum Model (Hybrid),Custom Implementation,,https://github.com/daniel-fink-de/training-robust-and-generalizable-quantum-models,10.1103/PhysRevResearch.6.043326,http://arxiv.org/abs/2311.11871,Computer Science - Machine Learning; Quantum Physics; Mathematics - Optimization and Control
60,2024,Challenges for Reinforcement Learning in Quantum Circuit Design,"Altmann, Philipp; Stein, Jonas; Kölle, Michael; Bärligea, Adelina; Gabor, Thomas; Phan, Thomy; Feld, Sebastian; Linnhoff-Popien, Claudia",,Custom Implementation,,https://github.com/philippaltmann/qcd,10.48550/arXiv.2312.11337,http://arxiv.org/abs/2312.11337,Computer Science - Machine Learning; Quantum Physics
61,2024,Élivágar: Efficient Quantum Circuit Search for Classification,"Anagolum, Sashwat; Alavisamani, Narges; Das, Poulami; Qureshi, Moinuddin; Kessler, Eric; Shi, Yunong",Quantum Circuit Learning (Hybrid),TensorFlow Quantum,,https://github.com/sashwatanagolum/elivagar,10.48550/arXiv.2401.09393,http://arxiv.org/abs/2401.09393,Computer Science - Machine Learning; Quantum Physics; Computer Science - Hardware Architecture
62,2024,Better than classical? The subtle art of benchmarking quantum machine learning models,"Bowles, Joseph; Ahmed, Shahnawaz; Schuld, Maria",Benchmarking / Evaluation (Hybrid),Custom Implementation,,https://github.com/xanaduai/qml-benchmarks,10.48550/arXiv.2403.07059,http://arxiv.org/abs/2403.07059,Computer Science - Machine Learning; Quantum Physics
63,2024,Feature Importance and Explainability in Quantum Machine Learning,"Power, Luke; Guha, Krishnendu",Theoretical Analysis (Simulation-based),Custom Implementation,,https://github.com/LukePower01/ml-to-qml,10.48550/arXiv.2405.08917,http://arxiv.org/abs/2405.08917,Computer Science - Machine Learning; Mathematics - Quantum Algebra; Statistics - Machine Learning
64,2024,A Quantum Leaky Integrate-and-Fire Spiking Neuron and Network,"Brand, Dean; Petruccione, Francesco",Quantum Neural Network (Hybrid),Custom Implementation,,https://github.com/deanbrand/QSNN,10.1038/s41534-024-00921-x,http://arxiv.org/abs/2407.16398,Quantum Physics; Computer Science - Neural and Evolutionary Computing; Computer Science - Emerging Technologies
65,2024,Reverse Map Projections as Equivariant Quantum Embeddings,"Arnott, Max; Papaioannou, Dimitri; McDowall, Kieran; Lolur, Phalgun; Baldé, Bambordé",Quantum Feature Map (Hybrid),Qiskit/PennyLane,,https://github.com/kezmcd1903/equivariant_qnns,10.48550/arXiv.2407.19906,http://arxiv.org/abs/2407.19906,Computer Science - Artificial Intelligence; Quantum Physics; Computer Science - Emerging Technologies; Mathematical Physics
66,2024,Quantum Deep Equilibrium Models,"Schleich, Philipp; Skreta, Marta; Kristensen, Lasse B.; Vargas-Hernández, Rodrigo A.; Aspuru-Guzik, Alán",Quantum Neural Network (Hybrid),Custom Implementation,,https://github.com/martaskrt/qdeq,10.48550/arXiv.2410.23940,http://arxiv.org/abs/2410.23940,Computer Science - Machine Learning; Quantum Physics
67,2025,Double descent in quantum machine learning,"Kempkes, Marie; Ijaz, Aroosa; Gil-Fuster, Elies; Bravo-Prieto, Carlos; Spiegelberg, Jakob; van Nieuwenburg, Evert; Dunjko, Vedran",Theoretical Analysis (Simulation-based),Custom Implementation,,https://github.com/bpcarlos/double_descent_quantum_ml,,,
68,2024,QuLTSF: Long-Term Time Series Forecasting with Quantum Machine Learning,"Chittoor, Hari Hara Suthan; Griffin, Paul Robert; Neufeld, Ariel; Thompson, Jayne; Gu, Mile",Quantum Time-Series Model (Hybrid),Qiskit/PennyLane,,https://github.com/chariharasuthan/qultsf,10.5220/0013395500003890,http://arxiv.org/abs/2412.13769,Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Quantum Physics
